what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1307228873559
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1307228873758
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1307228873981
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307228874797
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307228874804
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307228875135
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307228906626
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307228910477
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307228928885
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307228929529
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307228956363
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307228957158
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307228958399
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1307228962155
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307228963116
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307228965126
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307228965651
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307228981599
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1307228982260
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307228982893
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307228984680
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307228985736
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307229014331
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307229015852
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307229020093
