what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.tasks.ui,1331928878678
started,bundle,org.eclipse.mylyn.team.ui,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.team.ui,1331928878694
opened,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1331928879334
activated,perspective,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.JavaPerspective,1331928879350
started,bundle,org.eclipse.mylyn.monitor.ui,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.monitor.ui,1331928884256
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1331928891272
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1331928892381
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1331928894022
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1331928897740
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1331928900772
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1331928900912
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1331928901381
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1331928902990
started,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1331928903506
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1331928908115
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1331928909084
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1331928926147
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1331928926428
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1331928940037
started,bundle,org.eclipse.mylyn.java.ui,3.1.1.v20090411-0400-e3x,org.eclipse.mylyn.java.ui,1331928967178
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1331928973334
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1331928991834
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1331928995225
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1331928995412
executed,command,,,AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction,1331929000037
