what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.launching,3.4.1.v20080729_r341,org.eclipse.jdt.launching,1307528485656
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307528486385
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307528523739
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307528526584
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1307528532292
started,bundle,org.eclipse.jdt.apt.core,3.3.101.R34x_v20090114-1205,org.eclipse.jdt.apt.core,1307528536454
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.101.R34x_v20081108-1950,org.eclipse.jdt.apt.pluggable.core,1307528536486
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307528537019
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307528537039
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307528538308
started,bundle,org.eclipse.ltk.core.refactoring,3.4.2.r342_v20081028-0800,org.eclipse.ltk.core.refactoring,1307528541655
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1307528541686
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307528541787
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307528550742
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307528552993
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307530594872
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307530618539
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307530694242
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307530708705
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307530710091
started,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1307530723143
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307530723955
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307530731544
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307530742205
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307530830981
