what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1307220347212
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307220348593
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307220348597
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307220348689
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307220353668
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307220354903
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307220358104
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1307220361598
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1307220365855
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307220367142
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307220399555
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307220403556
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307220411026
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307220411622
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307220428602
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307220431378
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307220557905
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1307220559591
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1307220575134
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307220576778
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307220576783
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307220576872
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307220590135
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1307220594342
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1307220595764
