what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339630963474
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339631013092
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339631037151
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339631043911
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339631045126
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339631048121
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339631048651
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339631064843
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339631066497
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1339631071536
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1339631072269
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339631072986
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339631074733
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339631075591
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339631079039
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339631084280
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1339631085123
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1339631086324
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339631086979
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1339631091082
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339631091644
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1339631094795
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1339631095575
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1339631097306
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1339631099927
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339631100613
