what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1339717490957
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1339717491358
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1339717492051
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1339717492820
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1339717493456
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1339717501404
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1339717503767
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339717503796
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339717504830
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339717505836
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339717507341
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1339717509573
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339717509728
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1339717519902
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1339717522398
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339717522427
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339717524245
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339717540820
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339717544128
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339717545388
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339717548565
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339717552026
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339717697163
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339717697284
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339717697321
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1339717706016
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1339717707995
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339717708023
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339717708774
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339717710584
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339717733229
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1339717733836
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.ClassFileEditor",1339717736795
